microorganismo,antibiotico,s_cim,i_cim,r_cim,diametro_s_mm,diametro_i_mm,diametro_r_mm,notas
Enterococcus,Benzilpenicilina,-,-,-,-,-,-,"1/B. A sensibilidade pode ser inferida a partir da ampicilina.
2. A adição de um inibidor de betalactamase não acrescenta benefício clínico. Enterococos produtores de betalactamase são extremamente raros.
3/C. Isolados sensíveis à ampicilina não têm mecanismos de resistência fenotipicamente detectáveis ​​e os agentes especificados podem ser utilizados ​​em alta exposição em terapia combinada (ver Nota 4/D). Isolados resistentes à ampicilina podem ser reportados como resistentes.
4/D. Para obter informações sobre como utilizar pontos de corte entre parênteses, consultar https://www.eucast.org/eucastguidancedocuments/.
5. Para fins de teste de sensibilidade, a concentração de tazobactam é fixada em 4 mg/L.

A. Para E. faecalis resistentes à ampicilina por disco-difusão confirmar com método de determinação da CIM."
Enterococcus,Ampicilina iv,4,-,>4,10A,8-9A,<8A,
Enterococcus,Ampicilina-sulbactam iv2,Nota1,Nota1,Nota1,NotaB,NotaB,NotaB,
Enterococcus,Amoxicilina iv,41,-,>41,NotaB,NotaB,NotaB,
Enterococcus,Amoxicilina oral (exclusivamente ITU não complicada),41,-,>41,NotaB,NotaB,NotaB,
Enterococcus,"Amoxicilina oral (outras indicações),
E. faecalis","(0,001)3,4","(0,002-4)3,4","(>4)3,4","NotaC,D","NotaC,D","NotaC,D",
Enterococcus,Amoxicilina-clavulanato iv2,Nota1,Nota1,Nota1,NotaB,NotaB,NotaB,
Enterococcus,Amoxicilina-clavulanato oral2 (exclusivamente ITU não complicada),Nota1,Nota1,Nota1,NotaB,NotaB,NotaB,
Enterococcus,"Amoxicilina-clavulanato oral2 (outras indicações), E. faecalis","Nota3,4","Nota3,4","Nota3,4","NotaC,D","NotaC,D","NotaC,D",
Enterococcus,"Piperacilina, E. faecalis","0,001","0,002-16",>16,50,18-49,<18,
Enterococcus,"Piperacilina-tazobactam2, E. faecalis","0,0015","0,001-165",>165,50,18-49,<18,
Enterococcus,Carbapenêmicos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Doripenem,-,-,-,-,-,-,1/A. A adição do inibidor de betalactamase não resulta em benefício clínico.
Enterococcus,Ertapenem,-,-,-,-,-,-,
Enterococcus,"Imipenem, E. faecalis","0,001","0,002-4",>4,50,21-49,<21,
Enterococcus,Imipenem-relebactam,-,-,-,-,-,-,
Enterococcus,Meropenem,-,-,-,-,-,-,
Enterococcus,Meropenem-vaborbactam,-,-,-,-,-,-,
Enterococcus,Enterococcus spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterococcus,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterococcus,Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,"Ciprofloxacino, exclusivamente em infecção do trato urinário (ITU) não complicada",4,-,>4,15A,-,<15A,"1/B. O moxifloxacino tem sido utilizado na transição para tratamento oral de endocardite causada por Enterococcus faecalis. Não há pontos de corte clínicos para Enterococcus spp., porém a resistência adquirida deve ser excluída (isolados com CIM >1 mg/L). O teste de triagem pelo método de disco-difusão com norfloxacino pode ser utilizado para excluir mecanismos de resistência. Se o teste de triagem for negativo (diâmetro do halo ≥ 12 mm), o isolado não deve ser reportado como sensível ao moxifloxacino. Inserir nota: “Este isolado é desprovido de mecanismos de resistência às fluoroquinolonas, incluindo moxifloxacino”. Se o teste for positivo (diâmetro do halo < 12 mm), reportar: "" Este isolado expressa mecanismos de resistência às fluoroquinolonas. O uso de moxifloxacino é desaconselhável.""

A. O teste de disco-difusão com norfloxacino pode ser utilizado como triagem para resistência às fluoroquinolonas. Ver Nota C.
C. A sensibilidade ao ciprofloxacino e ao levofloxacino pode ser inferida a partir do teste de triagem com norfloxacino pelo método de disco-difusão. Para moxifloxacino, ver Nota 1/B."
Enterococcus,Delafloxacino,EI,EI,EI,EI,EI,EI,
Enterococcus,Levofloxacino (exclusivamente ITU não complicada),4,-,>4,15A,-,<15A,
Enterococcus,Moxifloxacino,Nota1,Nota1,Nota1,NotaB,NotaB,NotaB,
Enterococcus,"Norfloxacino
(exclusivamente triagem)",,,,12C,-,<12C,
Enterococcus,Ofloxacino,-,-,-,-,-,-,
Enterococcus,Aminoglicosídeos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Amicacina,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,"1. Enterococcus spp. são resistentes aos aminoglicosídeos quando utilizados em monoterapia. Entretanto, o sinergismo com penicilinas ou glicopeptídeos é provável se o isolado não expressar enzimas modificadoras de aminoglicosídeos adquiridas."
Enterococcus,Gentamicina (teste para enzimas modificadoras de aminoglicosídeos adquiridas - resistência de alto nível),Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,2/A. A gentamicina pode ser utilizada para triagem da expressão de enzimas modificadoras de aminoglicosídeos (resistência de alto nível aos aminoglicosídeos).
Enterococcus,Netilmicina,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,"Teste Negativo: Isolados com CIM de gentamicina  ≤128 mg/L ou diâmetro do halo de inibição ≥8 mm. O isolado tem perfil selvagem para gentamicina (não expressa enzimas modificadoras de aminoglicosídeos). Portanto, é esperado sinergismo se o isolado for sensível à penicilina ou glicopeptídeos. Este pode não ser o caso para outros aminoglicosídeos. 

Teste Positivo: Isolados com CIM de gentamicina >128 mg/L ou com diâmetro do halo de inibição <8 mm. O isolado expressa  enzimas modificadoras de aminoglicosídeos. As combinações de penicilinas ou glicopeptídeos com aminoglicosídeos não terão efeito sinérgico. Nesse caso a estreptomicina pode ser ainda ativa e deve ser testada separadamente. (ver Nota 3/B)."
Enterococcus,Estreptomicina (teste para enzimas modificadoras de aminoglicosídeos adquiridas - resistência de alto nível),Nota3,Nota3,Nota3,NotaB,NotaB,NotaB,
Enterococcus,Tobramicina,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,
Enterococcus,Enterococcus spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterococcus,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterococcus,Glicopeptídeos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Teicoplanina,2,-,>2,16,-,<16,"1/A. A resistência à vancomicina é o fenótipo esperado para E. casseliflavus e E. gallinarum e, portanto, o teste de sensibilidade não deve ser realizado.

A. E. faecalis e E. faecium sensíveis à vancomicina apresentam halos de inibição com bordas bem definidas e não apresentam colônias dentro do halo de inibição. Examinar as bordas dos halos de inibição com luz transmitida (placa erguida contra a luz). Suspeitar de resistência quando as bordas forem mal definidas (irregulares ou difusas) ou quando houver crescimento de colônias dentro do halo de inibição. Resultados duvidosos devem ser confirmados com PCR para detecção de genes van, mesmo que o diâmetro do halo seja  ≥12 mm (ver figuras abaixo). Os isolados não podem ser reportados como sensíveis antes de 24h de incubação."
Enterococcus,"Vancomicina, E. faecalis e E. faecium",4,-,>4,12A,-,<12A,
Enterococcus,"Vancomicina, E. casseliflavus e E. gallinarum",-,-,-,-,-,-,
Enterococcus,"Vancomicina, outros Enterococos",4,-,>4,15,-,<15,
Enterococcus,Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Doxiciclina,-,-,-,-,-,-,1. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
Enterococcus,Eravaciclina,"0,25",-,">0,25",22,-,<22,
Enterococcus,Minociclina,-,-,-,-,-,-,"2.Para determinação da CIM de tigeciclina por microdiluição, o meio deve ser preparado fresco, no dia do uso."
Enterococcus,Tetraciclina,-,-,-,-,-,-,
Enterococcus,Tigeciclina1,"0,52",-,">0,52",20,-,<20,
Enterococcus,Oxazolidinonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Linezolida,4,-,>4,20,-,<20,
Enterococcus,Tedizolida,EI,EI,EI,EI,EI,EI,
Enterococcus,Enterococcus spp.,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025",
Enterococcus,Regras de Especialistas e Fenótipos Esperados,,,,Documentos de orientação,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
Enterococcus,Agentes diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
Enterococcus,Daptomicina1,EI,EI,EI,EI,EI,EI,"1. Para mais informações veja http://www.eucast.org/eucastguidancedocuments/.
2/A. A realização do teste de sensibilidade antimicrobiana não é recomendada. Para obter informações sobre o uso de fosfomicina iv em terapia combinada consultar https://www.eucast.org/eucastguidancedocuments/.
3/B. A lefamulina tem atividade insuficiente contra E. faecalis. Para E. faecium, o ECOFF de 0,5 mg/L pode ser utilizado para distinguir os isolados do tipo selvagem dos não selvagens.
4/C. A atividade do sulfametoxazol-trimetoprima contra enterococos é incerta, não sendo possível prever o desfecho clínico. Isolados com CIMs >1 mg/L provavelmente têm mecanismos de resistência contra trimetoprima e sulfametoxazol-trimetoprima. Para E. faecalis e E. faecium isto corresponde a um diâmetro de halo de <23 mm para  sulfametoxazol-trimetoprima.
5. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte de CIM são expressos como concentração de trimetoprima."
Enterococcus,Fosfomicina IV,Nota2,Nota2,Nota2,NotaA,NotaA,NotaA,
Enterococcus,Fosfomicina oral,-,-,-,-,-,-,
Enterococcus,Lefamulina,Nota3,Nota3,Nota3,NotaB,NotaB,NotaB,
Enterococcus,"Nitrofurantoína (exclusivamente ITU não complicada), E. faecalis",64,-,>64,15,-,<15,
Enterococcus,Sulfametoxazol-trimetoprima5,Nota4,Nota4,Nota4,NotaC,NotaC,NotaC,
Enterococcus,Exemplos de halos de inibição de vancomicina para Enterococcus faecalis e E. faecium.,,,,,,,
Enterococcus,a) Bordas do halo regulares (bem definidas) e diâmetro do halo ≥ 12 mm. Reportar como sensível.,,,,,,,
Enterococcus,b-d) Bordas irregulares (difusas ou mal definidas) ou presença de colônias dentro do halo de inibição. Realizar teste confirmatório por PCR para genes van ou reportar como resistente mesmo se o diâmetro do halo for ≥ 12 mm.,,,,,,,
"Streptococcus A,B,C,G","Benzilpenicilina2, Streptococcus grupos A, C e G","0,03",-,">0,03",23,-,<23,"1/A. A sensibilidade dos Streptococcus dos grupos A, B, C e G às penicilinas é inferida a partir da sensibilidade à benzilpenicilina (infecções não meníngeas), com exceção da fenoximetilpenicilina e isoxazolilpenicilinas para Streptococcus do grupo B, onde não há evidências suficientes de eficácia clínica."
"Streptococcus A,B,C,G","Benzilpenicilina2,  
S. agalactiae (Streptococcus grupo B)","0,125",-,">0,125",18,-,<18,2. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
"Streptococcus A,B,C,G",Ampicilina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,3. A adição de um inibidor de β-lactamase não resulta em benefício clínico.
"Streptococcus A,B,C,G",Ampicilina-sulbactam3,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Amoxicilina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Amoxicilina-ácido clavulânico3,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Piperacilina-tazobactam3,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G","Fenoximetilpenicilina
Streptococcus grupos A, C e G",Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G","Oxacilina
Streptococcus grupos A, C e G",Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G","Streptococcus dos grupos A, B, C e G",,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025"
"Streptococcus A,B,C,G",Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
"Streptococcus A,B,C,G",Cefalosporinas1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Cefaclor,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"1/A. A sensibilidade dos estreptococos dos grupos A, B, C e G  às cefalosporinas é inferida a partir da sensibilidade à benzilpenicilina."
"Streptococcus A,B,C,G",Cefadroxila,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefalexina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,2/B. A adição do inibidor de betalactamase não resulta em benefício clínico.
"Streptococcus A,B,C,G",Cefazolina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefepima,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefepima-enmetazobactam2,Nota2,Nota2,Nota2,NotaB,NotaB,NotaB,
"Streptococcus A,B,C,G",Cefiderocol,EI,EI,EI,EI,EI,EI,
"Streptococcus A,B,C,G",Cefotaxima,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefoxitina,EI,EI,EI,EI,EI,EI,
"Streptococcus A,B,C,G",Ceftarolina,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Ceftazidima,-,-,-,-,-,-,
"Streptococcus A,B,C,G",Ceftolozana-tazobactam2,EI,EI,EI,EI,EI,EI,
"Streptococcus A,B,C,G",Ceftriaxona,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefuroxima iv,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Cefuroxima oral,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Carbapenêmicos1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Doripenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"1/A. A sensibilidade dos Streptococcus dos grupos A, B, C e G aos carbapenêmicos é inferida a partir da"
"Streptococcus A,B,C,G",Ertapenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,"sensibilidade à benzilpenicilina.
2/B.  A adição do inibidor de betalactamase não resulta em benefício clínico."
"Streptococcus A,B,C,G",Imipenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Imipenem-relebactam2,Nota2,Nota2,Nota2,NotaB,NotaB,NotaB,
"Streptococcus A,B,C,G",Meropenem,Nota1,Nota1,Nota1,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Meropenem-vaborbactam2,Nota2,Nota2,Nota2,NotaB,NotaB,NotaB,
"Streptococcus A,B,C,G",Fluoroquinolonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Ciprofloxacino,-,-,-,-,-,-,"A. O teste de disco-difusão aguarda ação da indústria farmacêutica responsável. 
B. O teste de disco-difusão com norfloxacino pode ser utilizado para triagem de resistência às fluoroquinolonas. Ver Nota C.
C. Isolados categorizados como negativos no teste de triagem (diâmetro do hlo ≥12 mm) podem ser reportados como sensíveis ao moxifloxacino e como ""sensível, aumentando exposição"" (I) ao levofloxacino. Isolados categorizados como positivos (diâmetro do halo <12 mm) no teste de triagem devem ser testados quanto à sensibilidade a agentes individuais ou reportados como resistentes."
"Streptococcus A,B,C,G",Delafloxacino,"0,03",-,">0,03",NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Levofloxacino,"0,001","0,002-2",>2,50B,17-49B,<17B,
"Streptococcus A,B,C,G",Moxifloxacino,"0,5",-,">0,5",19B,-,<19B,
"Streptococcus A,B,C,G",Norfloxacino (exclusivamente triagem),,,,12C,-,<12C,
"Streptococcus A,B,C,G",Ofloxacino,-,-,-,-,-,-,
"Streptococcus A,B,C,G","Streptococcus dos grupos A, B, C e G",,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025"
"Streptococcus A,B,C,G",Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
"Streptococcus A,B,C,G",Glicopeptídeos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Teicoplanina1,2,-,>2,15A,-,<15A,1. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados restentes devem ser confirmados em laboratório de referência.
"Streptococcus A,B,C,G",Vancomicina1,2,-,>2,13A,-,<13A,A. Isolados não-selvagens não estavam disponíveis quando do desenvolvimento do método de disco-difusão.
"Streptococcus A,B,C,G",Macrolídeos e lincosamidas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Azitromicina,"0,251",-,">0,251",NotaA,NotaA,NotaA,"1/A. A eritromicina pode ser utilizada para triagem de resistência a macrolídeos em Streptococcus grupos A, B, C e G. Isolados categorizados como sensíveis podem ser reportados como sensíveis à azitromicina, claritromicina e roxitromicina. Isolados categorizados como resistentes à eritromicina devem ser testados quanto à sensibilidade a agentes individuais ou reportados como resistentes.
2. A resistência induzível à clindamicina pode ser detectada pelo antagonismo da atividade da clindamicina por agente macrolídeo. Se o antagonismo não for detectado, reportar como testado de acordo com os pontos de corte clínicos. Se detectado, reportar como resistente e considerar a inclusão do comentário: “A clindamicina ainda pode ser utilizada para tratamento de curta duração ou tratamento de infecções menos graves de pele e tecidos moles, pois é improvável haver desenvolvimento de resistência plena durante tais tratamentos”. A importância clínica da resistência induzível à clindamicina em tratamento combinado nas infecções graves por Streptococcus pyogenes é desconhecida.
B. Posicionar os discos de eritromicina e clindamicina separados 12-16 mm (borda a borda) e observar a ocorrência de antagonismo (halo de inibição em forma de D)."
"Streptococcus A,B,C,G",Claritromicina,"0,251",-,">0,251",NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Eritromicina,"0,251",-,">0,251",21A,-,<21A,
"Streptococcus A,B,C,G",Clindamicina2,"0,5",-,">0,5",17B,-,<17B,
"Streptococcus A,B,C,G",Tetraciclinas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Doxiciclina,11,-,>11,NotaA,NotaA,NotaA,1/A. A tetraciclina pode ser usada para triagem de resistência às demais tetraciclinas. Isolados categorizados como sensíveis na triagem podem ser reportados como sensíveis à doxiciclina e minociclina. Isolados categorizados como resistentes na triagem devem ser testados quanto à sensibilidade a agentes individuais ou reportados como resistentes.
"Streptococcus A,B,C,G",Minociclina,"0,51",-,">0,51",23A,-,<23A,2. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
"Streptococcus A,B,C,G",Tetraciclina,11,-,>11,23A,-,<23A,"3. Para determinação da CIM de tigeciclina por microdiluição, o meio deve ser preparado fresco no dia do uso."
"Streptococcus A,B,C,G",Tigeciclina 2,"0,1253",-,">0,1253",19,-,<19,
"Streptococcus A,B,C,G","Streptococcus dos grupos A, B, C e G",,,,,,,"Tabela de Pontos de Corte Clínicos do BrCAST-EUCAST, válida a partir de 01-02-2025"
"Streptococcus A,B,C,G",Regras de Especialistas e Fenótipos Esperados,,,,,,,"Para abreviações e explicações sobre pontos de corte, ver aba de Notas"
"Streptococcus A,B,C,G",Oxazolidinonas,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Linezolida1,2,-,>2,19,-,<19,1. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
"Streptococcus A,B,C,G",Tedizolida1,"0,52",-,">0,5",18A,-,<18A,2/A. Isolados sensíveis à linezolida podem ser considerados sensíveis à tedizolida.
"Streptococcus A,B,C,G",Agentes Diversos,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
"Streptococcus A,B,C,G",Ácido fusídico,EI,EI,EI,EI,EI,EI,1. Isolados resistentes são raros ou ainda não foram reportados. A identificação e o teste de sensibilidade em isolados resistentes devem ser confirmados em centro de referência.
"Streptococcus A,B,C,G",Cloranfenicol,EI,EI,EI,EI,EI,EI,"2. Para determinação da CIM de daptomicina o meio deve ser suplementado com Ca++ para uma concentração final de 50 mg/L para o método da microdiluição em caldo. A diluição em ágar não está validada. Siga as instruções do fabricante caso utilize um sistema comercial.
3. Sulfametoxazol-trimetoprima na proporção 19:1. Os pontos de corte de CIM estão expressos como concentração de trimetoprima.

A. Utilizar um método para determinar a CIM."
"Streptococcus A,B,C,G",Daptomicina1,12,-,>12,NotaA,NotaA,NotaA,
"Streptococcus A,B,C,G",Lefamulina,EI,EI,EI,EI,EI,EI,
"Streptococcus A,B,C,G","Nitrofurantoína (exclusivamente ITU não complicada), Streptococcus agalactiae (Estreptococo do grupo B)",64,-,>64,15,-,<15,
"Streptococcus A,B,C,G",Rifampicina,"0,25",-,">0,25",21,-,<21,
"Streptococcus A,B,C,G",Sulfametoxazol-trimetoprima3,1,2,>2,18,15-17,<15,
S. pneumoniae,Benzilpenicilina (excluindo endocardite e meningite),"0,06","0,125-1",>1,"NotaA,B","NotaA,B","NotaA,B","A. ATENÇÃO: Ler e interpretar o disco de benzilpenicilina apenas para isolados com diâmetros de halo com disco de 1 µg de oxacilina <20 mm. Se o halo de benzilpenicilina for ≥14 mm, reportar a benzilpenicilina como “sensível, aumentando exposição” (I). Se o halo for <14 mm, reportar resistência à benzilpenicilina (R), ver o fluxograma abaixo. 

1/B. O teste de triagem com disco de oxacilina 1 µg ou teste para determinação da CIM de benzilpeniclina deve ser utilizado para excluir mecanismos de resistência aos betalactâmicos. Quando o teste de triagem for negativo (halo de inibição ≥20 mm, ou a CIM de benzilpenicilina ≤0,06 mg/L), todos os agentes betalactâmicos para os quais estão disponíveis pontos de corte clínicos, incluindo aqueles com “Nota”, poderão ser reportados como sensíveis sem testes adicionais, exceto para cefaclor, que deverá ser reportado como ""Sensível, aumentando exposição"" (I). Quando a triagem for positiva (halo de inibição <20 mm ou a CIM de benzilpenicilina for > 0,06 mg/L), consultar o fluxograma abaixo para interpretação.
2. Para pontos de corte e doses em pneumonia, ver a tabela de dosagens.
2. A adição de um inibidor de β-lactamase não adiciona benefício clínico.
3/C. Sensibilidade inferida a partir da ampicilina (infecções não meníngeas e endocardite).
4. Para fins de teste de sensibilidade, a concentração de ácido clavulânico é fixada em 2 mg/L.

D. Para interpretação do teste de triagem com disco de oxacilina, ver fluxograma abaixo."
S. pneumoniae,Benzilpenicilina (endocardite e meningite),"0,06",-,">0,06",NotaB,NotaB,NotaB,
S. pneumoniae,Ampicilina (excluindo endocardites e meningites),"0,5",1,>1,22,19-21,<19,
S. pneumoniae,Ampicilina IV (endocardite e meningite),"0,5",-,">0,5",NotaB,NotaB,NotaB,
S. pneumoniae,Ampicilina-sulbactam2,"Nota1,3","Nota1,3","Nota1,3","NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Amoxicilina iv (excluindo endocardite e meningite),"Nota1,3","Nota1,3","Nota1,3","NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Amoxicilina iv (endocardite e meningite),"0,5",-,">0,5",NotaB,NotaB,NotaB,
S. pneumoniae,Amoxicilina oral,"0,5",1,>1,"NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Amoxicilina-ácido clavulânico iv2,"Nota1,3","Nota1,3","Nota1,3","NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Amoxicilina-ácido clavulânico oral2,"0,54",14,>14,"NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Piperacilina-tazobactam2,"Nota1,3","Nota1,3","Nota1,3","NotaB,C","NotaB,C","NotaB,C",
S. pneumoniae,Fenoximetilpenicilina,Nota1,Nota1,Nota1,NotaB,NotaB,NotaB,
S. pneumoniae,Oxacilina (exclusivamente triagem)1,,,,20D,-,<20D,
S. pneumoniae,Cefalosporinas1,Ponto de corte p/ CIM (mg/L),,,Ponto de corte p/ diâmetro do halo (mm),,,"Notas 
Números para comentários gerais e/ou pontos de corte para CIM. 
Letras para comentários sobre disco-difusão."
S. pneumoniae,Cefaclor,"0,001","0,002-0,5",">0,5",50,28-49,<28,"1/A. O teste de triagem com disco de oxacilina 1 µg ou teste para determinação da CIM de benzilpeniclina deve ser utilizado para excluir mecanismos de resistência aos betalactâmicos. Quando o teste de triagem for negativo (halo de inibição ≥ 20 mm, ou a CIM de benzilpenicilina ≤0,06 mg/L), todos os agentes betalactâmicos para os quais estão disponíveis pontos de corte clínicos, incluindo aqueles com “Nota”, poderão ser reportados como sensíveis sem testes adicionais, exceto para cefaclor, que deverá ser reportado como ""sensível, aumentando exposição (I). Quando a triagem for positiva (halo de inibição <20 mm ou a CIM de benzilpenicilina for > 0,06 mg/L), consultar o fluxograma abaixo para interpretação.
2/B. A adição de um inibidor de β-lactamase não resulta em benefício clínico."
S. pneumoniae,Cefadroxila,-,-,-,-,-,-,
S. pneumoniae,Cefalexina,-,-,-,-,-,-,
S. pneumoniae,Cefazolina,-,-,-,-,-,-,
S. pneumoniae,Cefepima,1,2,>2,NotaA,NotaA,NotaA,
S. pneumoniae,Cefepima-enmetazobactam2,Nota2,Nota2,Nota2,NotaB,NotaB,NotaB,
S. pneumoniae,Cefiderocol,EI,EI,EI,EI,EI,EI,
S. pneumoniae,Cefotaxima (excluindo endocardite e meningite),"0,5",1-2,>2,NotaA,NotaA,NotaA,
